Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eritrea,Net official development assistance and official aid received (current US$),67709999.08,154149993.9,148289993.3,157490005.5,123510002.1,168809997.6,149869995.1,178020004.3,284700012.2,226669998.2,316959991.5,263519989,349739990.2,126190002.4,158529998.8,145419998.2,142619995.1,162309997.6,133410003.7,135970001.2,81309997.56,84190002.44,93919998.17,66819999.69,79199996.95,84239997.86,276929992.7
Spain,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Net official development assistance and official aid received (current US$),42310001.37,43810001.37,58049999.24,59369998.93,65910003.66,90989997.86,83620002.75,63830001.83,68500000,54409999.85,84300003.05,135429992.7,,,,,,,,,,,,,,,
Ethiopia,Net official development assistance and official aid received (current US$),1081219971,1063579956,876979980.5,816500000,578909973.1,660239990.2,643289978,687799987.8,1103599976,1324739990,1621160034,1830300049,1929119995,2034550049,2606550049,3316250000,3823760010,3455159912,3495889893,3243290039,3885540039,3583959961,3238889893,4084370117,4124750000,4941029785,4809970215
European Union,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,Net official development assistance and official aid received (current US$),59840000.15,39110000.61,42799999.24,46790000.92,44509998.32,36889999.39,35200000.76,29370000.84,26180000.31,34169998.17,51250000,65529998.78,66080001.83,55799999.24,50880001.07,45080001.83,66410003.66,75839996.34,75389999.39,105370002.7,91220001.22,94239997.86,102480003.4,117419998.2,145899993.9,120959999.1,139070007.3
France,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",Net official development assistance and official aid received (current US$),62130001.07,102660003.7,73550003.05,112690002.4,84440002.44,73639999.39,102879997.3,97480003.36,135399993.9,110730003.4,112269996.6,85370002.75,104819999.7,106239997.9,111709999.1,91129997.25,120910003.7,63770000.46,130639999.4,143259994.5,143210006.7,117010002.1,81389999.39,50830001.83,98150001.53,98790000.92,92540000.92
Gabon,Net official development assistance and official aid received (current US$),100860000.6,181029998.8,143740005.5,126510002.1,38830001.83,44639999.39,47799999.24,11850000.38,8640000.343,71660003.66,-10920000.08,40040000.92,50299999.24,31209999.08,53209999.08,64120002.75,77949996.95,106269996.6,69449996.95,68849998.47,87209999.08,111269996.6,98779998.78,41619998.93,106349998.5,116959999.1,116709999.1
United Kingdom,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
